股票名称, 股票跌幅天数, 股票总涨跌幅,
中航沈飞_0600760.csv,6,-11.028699999999999,
中航电子_0600372.csv,2,-4.829000000000001,
中航电测_1300114.csv,2,-5.5138,
中航重机_0600765.csv,2,-5.6876999999999995,
中航飞机_1000768.csv,2,-4.1699,
中航高科_0600862.csv,2,-5.1567,
中船科技_0600072.csv,6,-27.578599999999998,
中船防务_0600685.csv,6,-25.0694,
中衡设计_0603017.csv,2,-5.4178,
中装建设_1002822.csv,2,-6.1149000000000004,
中设股份_1002883.csv,2,-6.0748,
中设集团_0603018.csv,2,-4.534,
中超控股_1002471.csv,2,-9.4641,
中路B股_0900915.csv,4,-3.9465000000000003,
中路股份_0600818.csv,2,-6.2243,
中远海发_0601866.csv,2,-7.0376,
中远海控_0601919.csv,2,-6.3363000000000005,
中远海特_0600428.csv,2,-6.1002,
中远海科_1002401.csv,2,-8.5684,
中迪投资_1000609.csv,2,-7.4064,
中通客车_1000957.csv,2,-12.2211,
中金岭南_1000060.csv,2,-6.6696,
中金黄金_0600489.csv,1,-1.816,
中钢国际_1000928.csv,2,-6.9914,
中钨高新_1000657.csv,5,-12.3842,
中铁工业_0600528.csv,2,-7.5072,
中铝国际_0601068.csv,2,-7.2279,
中闽能源_0600163.csv,2,-6.9206,
中集集团_1000039.csv,2,-6.0749,
中青旅_0600138.csv,2,-10.017299999999999,
中颖电子_1300327.csv,2,-5.834199999999999,
中飞股份_1300489.csv,2,-8.945,
中马传动_0603767.csv,2,-6.4925999999999995,
中鲁B_1200992.csv,2,-3.6931,
中鼎股份_1000887.csv,2,-4.5413,
丰原药业_1000153.csv,2,-7.3241,
丰山集团_0603810.csv,3,-6.861000000000001,
丰林集团_0601996.csv,5,-10.533700000000001,
临港B股_0900928.csv,3,-3.2801,
丹化科技_0600844.csv,3,-18.1286,
丹科B股_0900921.csv,3,-4.4787,
丹邦科技_1002618.csv,2,-9.651299999999999,
丽岛新材_0603937.csv,2,-5.654800000000001,
丽江旅游_1002033.csv,4,-8.7613,
丽鹏股份_1002374.csv,4,-7.732099999999999,
久吾高科_1300631.csv,2,-5.4642,
久立特材_1002318.csv,2,-6.6549,
久联发展_1002037.csv,5,-11.6788,
乐凯胶片_0600135.csv,2,-10.1477,
乐山电力_0600644.csv,2,-6.4437,
乐心医疗_1300562.csv,2,-7.7652,
乐普医疗_1300003.csv,2,-2.1856,
乔治白_1002687.csv,2,-5.007,
九典制药_1300705.csv,2,-8.2819,
九安医疗_1002432.csv,2,-7.4056,
九洲电气_1300040.csv,2,-5.0872,
九牧王_0601566.csv,2,-4.9222,
九芝堂_1000989.csv,5,-12.5784,
九阳股份_1002242.csv,3,-2.6081,
九鼎新材_1002201.csv,2,-7.2186,
乾景园林_0603778.csv,2,-6.935499999999999,
乾照光电_1300102.csv,5,-10.4589,
云内动力_1000903.csv,2,-8.5017,
云南旅游_1002059.csv,4,-14.986700000000003,
云南白药_1000538.csv,2,-6.394299999999999,
云南铜业_1000878.csv,2,-5.9074,
云图控股_1002539.csv,1,-8.6294,
云意电气_1300304.csv,2,-7.341100000000001,
云投生态_1002200.csv,1,-3.6554,
云海金属_1002182.csv,3,-15.974400000000001,
云铝股份_1000807.csv,3,-9.1748,
五洋停车_1300420.csv,2,-7.8778,
五矿发展_0600058.csv,2,-5.0953,
五矿稀土_1000831.csv,3,-8.8845,
五矿资本_0600390.csv,2,-4.188,
井神股份_0603299.csv,5,-8.936,
亚光科技_1300123.csv,2,-6.969799999999999,
亚厦股份_1002375.csv,2,-5.4717,
亚士创能_0603378.csv,3,-10.0912,
亚太实业_1000691.csv,2,-8.8842,
亚太科技_1002540.csv,2,-4.531499999999999,
亚太股份_1002284.csv,2,-6.056,
亚太药业_1002370.csv,2,-8.6615,
亚宝药业_0600351.csv,2,-7.9733,
亚振家居_0603389.csv,3,-13.5199,
亚星化学_0600319.csv,2,-12.480699999999999,
亚星锚链_0601890.csv,6,-25.2352,
亚泰国际_1002811.csv,5,-7.3068,
亚玛顿_1002623.csv,5,-11.2249,
亚盛集团_0600108.csv,2,-7.014900000000001,
亚翔集成_0603929.csv,2,-3.5895,
亚通股份_0600692.csv,2,-6.644500000000001,
亚邦股份_0603188.csv,2,-4.4838,
交通银行_0601328.csv,5,-3.7779999999999996,
亨通光电_0600487.csv,2,-5.3517,
京东方A_1000725.csv,2,-6.4391,
京城股份_0600860.csv,2,-19.997700000000002,
京威股份_1002662.csv,2,-12.1808,
京山轻机_1000821.csv,3,-8.8092,
京新药业_1002020.csv,2,-3.1617,
京汉股份_1000615.csv,2,-9.1136,
京泉华_1002885.csv,2,-6.75,
京粮B_1200505.csv,4,-0.8515,
京粮控股_1000505.csv,2,-5.4966,
京能电力_0600578.csv,6,-7.581,
京蓝科技_1000711.csv,4,-10.157100000000002,
京运通_0601908.csv,2,-16.1004,
人人乐_1002336.csv,2,-3.3704,
人民同泰_0600829.csv,2,-11.1286,
人民网_0603000.csv,3,-8.990100000000002,
人福医药_0600079.csv,5,-12.711099999999998,
亿帆医药_1002019.csv,2,-3.299,
亿晶光电_0600537.csv,4,-9.6406,
亿通科技_1300211.csv,2,-6.598400000000001,
仁东控股_1002647.csv,2,-2.2438,
仁智股份_1002629.csv,2,-16.3262,
今创集团_0603680.csv,2,-4.8408,
今飞凯达_1002863.csv,2,-7.0499,
仙坛股份_1002746.csv,1,-7.5157,
仙鹤股份_0603733.csv,2,-6.97,
仟源医药_1300254.csv,2,-19.575200000000002,
以岭药业_1002603.csv,2,-7.1457,
伊利股份_0600887.csv,2,-2.4212,
伊力特_0600197.csv,6,-17.329,
伊戈尔_1002922.csv,3,-6.881500000000001,
众业达_1002441.csv,2,-5.6488,
众信旅游_1002707.csv,5,-13.637300000000002,
众应互联_1002464.csv,2,-9.6433,
众泰汽车_1000980.csv,2,-9.6213,
众源新材_0603527.csv,2,-10.475100000000001,
优德精密_1300549.csv,2,-8.493,
会稽山_0601579.csv,5,-8.5098,
伟星新材_1002372.csv,2,-3.8776,
伟星股份_1002003.csv,2,-4.3068,
传化智联_1002010.csv,2,-5.9216,
伯特利_0603596.csv,3,-11.4998,
佐力药业_1300181.csv,2,-7.901,
佛塑科技_1000973.csv,2,-12.2941,
佛山照明_1000541.csv,2,-4.3548,
佛慈制药_1002644.csv,5,-11.186399999999999,
佛燃股份_1002911.csv,2,-11.076699999999999,
佩蒂股份_1300673.csv,2,-5.9942,
佳云科技_1300242.csv,3,-5.7583,
佳力图_0603912.csv,2,-7.4406,
佳士科技_1300193.csv,2,-3.8367,
佳讯飞鸿_1300213.csv,2,-6.3968,
佳隆股份_1002495.csv,2,-6.8551,
保利地产_0600048.csv,5,-6.8325,
保变电气_0600550.csv,2,-7.456799999999999,
保隆科技_0603197.csv,5,-14.1483,
信捷电气_0603416.csv,8,-9.6945,
信立泰_1002294.csv,5,-6.804600000000001,
信隆健康_1002105.csv,2,-9.3164,
信雅达_0600571.csv,2,-9.9211,
倍加洁_0603059.csv,5,-18.5888,
健友股份_0603707.csv,1,-6.8583,
健康元_0600380.csv,2,-3.9384,
健民集团_0600976.csv,2,-6.9374,
健盛集团_0603558.csv,2,-9.325099999999999,
元力股份_1300174.csv,2,-4.6333,
元成股份_0603388.csv,2,-10.0701,
元隆雅图_1002878.csv,2,-6.1091,
兆丰股份_1300695.csv,2,-3.9029000000000003,
兆新股份_1002256.csv,2,-7.7144,
