股票名称,最低价天数,收盘价天数,
中新科技_0603996.csv,40,40,
中新药业_0600329.csv,18,0,
中新赛克_1002912.csv,43,0,
中旗股份_1300575.csv,5,0,
中昌数据_0600242.csv,48,0,
中曼石油_0603619.csv,18,16,
中材国际_0600970.csv,19,19,
中材科技_1002080.csv,33,33,
中材节能_0603126.csv,28,28,
中来股份_1300393.csv,47,0,
中核科技_1000777.csv,19,19,
中核钛白_1002145.csv,25,25,
中欣氟材_1002915.csv,19,19,
中水渔业_1000798.csv,40,38,
中油工程_0600339.csv,30,18,
中油资本_1000617.csv,33,19,
中泰化学_1002092.csv,18,18,
中泰股份_1300435.csv,1,1,
中洲控股_1000042.csv,53,53,
中海油服_0601808.csv,19,19,
中海达_1300177.csv,18,0,
中润资源_1000506.csv,8,8,
中源协和_0600645.csv,38,38,
中源家居_0603709.csv,14,14,
中潜股份_1300526.csv,44,0,
中炬高新_0600872.csv,24,5,
中煤能源_0601898.csv,19,19,
中牧股份_0600195.csv,2,1,
中环环保_1300692.csv,19,19,
中环股份_1002129.csv,8,8,
中环装备_1300140.csv,29,0,
中珠医疗_0600568.csv,9,9,
中电兴发_1002298.csv,19,19,
中电环保_1300172.csv,33,33,
中电电机_0603988.csv,36,36,
中百集团_1000759.csv,18,0,
中直股份_0600038.csv,53,53,
中石科技_1300684.csv,0,0,
中矿资源_1002738.csv,19,19,
中科三环_1000970.csv,15,0,
中科信息_1300678.csv,38,0,
中科创达_1300496.csv,43,0,
中科新材_1002290.csv,53,0,
中科曙光_0603019.csv,2,0,
中科电气_1300035.csv,18,18,
中科金财_1002657.csv,19,19,
中粮地产_1000031.csv,18,18,
中粮生化_1000930.csv,19,0,
中粮糖业_0600737.csv,14,12,
中联重科_1000157.csv,16,16,
中能电气_1300062.csv,18,18,
中航三鑫_1002163.csv,24,0,
中航光电_1002179.csv,0,0,
中航投资_0600705.csv,19,19,
中航机电_1002013.csv,28,27,
中航沈飞_0600760.csv,54,53,
中航电子_0600372.csv,43,43,
中航电测_1300114.csv,42,42,
中航重机_0600765.csv,33,33,
中航飞机_1000768.csv,33,33,
中航高科_0600862.csv,19,0,
中船科技_0600072.csv,25,25,
中船防务_0600685.csv,14,14,
中色股份_1000758.csv,0,0,
中葡股份_0600084.csv,0,0,
中衡设计_0603017.csv,52,52,
中装建设_1002822.csv,33,33,
中视传媒_0600088.csv,19,0,
中设股份_1002883.csv,35,33,
中设集团_0603018.csv,38,38,
中超控股_1002471.csv,33,8,
中路B股_0900915.csv,20,10,
中路股份_0600818.csv,32,32,
中远海发_0601866.csv,16,9,
中远海控_0601919.csv,16,16,
中远海特_0600428.csv,28,28,
中远海科_1002401.csv,19,19,
中远海能_0600026.csv,19,0,
中迪投资_1000609.csv,33,32,
中通国脉_0603559.csv,0,0,
中通客车_1000957.csv,8,8,
中金岭南_1000060.csv,18,18,
中金环境_1300145.csv,3,0,
中金黄金_0600489.csv,52,51,
中钢国际_1000928.csv,19,19,
中钢天源_1002057.csv,0,0,
中钨高新_1000657.csv,19,19,
中铁工业_0600528.csv,19,19,
中铝国际_0601068.csv,38,38,
中闽能源_0600163.csv,14,14,
中际旭创_1300308.csv,3,2,
中集集团_1000039.csv,19,19,
中青宝_1300052.csv,19,0,
中青旅_0600138.csv,43,43,
中顺洁柔_1002511.csv,5,0,
中颖电子_1300327.csv,38,38,
中飞股份_1300489.csv,7,7,
中马传动_0603767.csv,28,21,
中鲁B_1200992.csv,48,44,
中鼎股份_1000887.csv,40,37,
丰乐种业_1000713.csv,6,0,
丰元股份_1002805.csv,17,0,
丰原药业_1000153.csv,29,29,
丰山集团_0603810.csv,43,43,
丰林集团_0601996.csv,29,29,
临港B股_0900928.csv,18,18,
丹化科技_0600844.csv,18,18,
丹科B股_0900921.csv,29,0,
丹邦科技_1002618.csv,52,52,
丽岛新材_0603937.csv,44,43,
丽江旅游_1002033.csv,33,33,
丽珠集团_1000513.csv,40,0,
丽鹏股份_1002374.csv,18,8,
久之洋_1300516.csv,0,0,
久其软件_1002279.csv,37,0,
久吾高科_1300631.csv,38,38,
久立特材_1002318.csv,43,43,
久联发展_1002037.csv,53,53,
久远银海_1002777.csv,2,2,
乐凯新材_1300446.csv,33,0,
乐凯胶片_0600135.csv,19,19,
乐山电力_0600644.csv,9,9,
乐心医疗_1300562.csv,19,19,
乐惠国际_0603076.csv,21,0,
乐普医疗_1300003.csv,19,19,
乐歌股份_1300729.csv,40,0,
乐通股份_1002319.csv,8,0,
乔治白_1002687.csv,19,0,
九典制药_1300705.csv,43,43,
九华旅游_0603199.csv,28,0,
九安医疗_1002432.csv,40,40,
九州通_0600998.csv,0,0,
九强生物_1300406.csv,8,0,
九洲电气_1300040.csv,19,0,
九洲药业_0603456.csv,36,0,
九牧王_0601566.csv,19,19,
九芝堂_1000989.csv,43,43,
九阳股份_1002242.csv,29,20,
九鼎投资_0600053.csv,47,0,
九鼎新材_1002201.csv,33,33,
乾景园林_0603778.csv,18,9,
乾照光电_1300102.csv,54,54,
二三四五_1002195.csv,27,0,
二六三_1002467.csv,0,0,
云内动力_1000903.csv,19,19,
云南城投_0600239.csv,3,3,
云南旅游_1002059.csv,26,26,
云南白药_1000538.csv,13,13,
云南能投_1002053.csv,24,0,
云南铜业_1000878.csv,8,8,
云南锗业_1002428.csv,8,8,
云图控股_1002539.csv,33,33,
云天化_0600096.csv,7,0,
云意电气_1300304.csv,37,37,
云投生态_1002200.csv,0,0,
云海金属_1002182.csv,43,33,
云煤能源_0600792.csv,8,0,
云赛B股_0900901.csv,37,0,
云赛智联_0600602.csv,0,0,
云铝股份_1000807.csv,18,18,
五洋停车_1300420.csv,28,27,
五洲交通_0600368.csv,0,0,
五洲新春_0603667.csv,43,0,
五矿发展_0600058.csv,19,19,
五矿稀土_1000831.csv,33,33,
五矿资本_0600390.csv,18,11,
五粮液_1000858.csv,9,0,
井神股份_0603299.csv,43,43,
亚光科技_1300123.csv,19,19,
亚厦股份_1002375.csv,43,40,
亚士创能_0603378.csv,16,16,
亚夏汽车_1002607.csv,19,0,
亚太实业_1000691.csv,33,33,
亚太科技_1002540.csv,19,19,
亚太股份_1002284.csv,18,18,
亚太药业_1002370.csv,19,19,
亚威股份_1002559.csv,2,0,
亚宝药业_0600351.csv,34,33,
亚振家居_0603389.csv,45,45,
亚星化学_0600319.csv,33,28,
亚星客车_0600213.csv,2,0,
亚星锚链_0601890.csv,28,28,
亚普股份_0603013.csv,18,0,
亚泰国际_1002811.csv,43,43,
亚泰集团_0600881.csv,19,0,
亚玛顿_1002623.csv,54,54,
亚盛集团_0600108.csv,27,26,
亚翔集成_0603929.csv,28,2,
亚联发展_1002316.csv,8,0,
亚通股份_0600692.csv,18,18,
亚邦股份_0603188.csv,21,21,
交大昂立_0600530.csv,32,0,
交运股份_0600676.csv,19,0,
交通银行_0601328.csv,19,19,
亨通光电_0600487.csv,8,8,
京东方A_1000725.csv,20,19,
京东方B_1200725.csv,2,0,
京华激光_0603607.csv,21,0,
京城股份_0600860.csv,21,21,
京天利_1300399.csv,36,0,
京威股份_1002662.csv,7,7,
京山轻机_1000821.csv,43,42,
京投发展_0600683.csv,28,0,
京新药业_1002020.csv,29,0,
京汉股份_1000615.csv,28,25,
京泉华_1002885.csv,28,28,
京粮B_1200505.csv,126,18,
京粮控股_1000505.csv,43,19,
京能电力_0600578.csv,38,0,
京能置业_0600791.csv,33,0,
京蓝科技_1000711.csv,38,0,
京运通_0601908.csv,53,53,
人人乐_1002336.csv,2,2,
人民同泰_0600829.csv,17,17,
人民网_0603000.csv,36,36,
人福医药_0600079.csv,19,19,
亿利洁能_0600277.csv,4,0,
亿利达_1002686.csv,0,0,
亿嘉和_0603666.csv,33,0,
亿帆医药_1002019.csv,2,2,
亿晶光电_0600537.csv,18,18,
亿纬锂能_1300014.csv,8,0,
亿联网络_1300628.csv,0,0,
亿通科技_1300211.csv,29,29,
仁东控股_1002647.csv,54,54,
仁和药业_1000650.csv,4,0,
仁智股份_1002629.csv,13,13,
今世缘_0603369.csv,8,0,
今创集团_0603680.csv,18,18,
今天国际_1300532.csv,5,5,
今飞凯达_1002863.csv,44,44,
仙坛股份_1002746.csv,3,3,
仙琚制药_1002332.csv,33,0,
仙鹤股份_0603733.csv,43,43,
仟源医药_1300254.csv,17,17,
以岭药业_1002603.csv,33,33,
任子行_1300311.csv,36,0,
伊之密_1300415.csv,0,0,
伊利股份_0600887.csv,8,8,
伊力特_0600197.csv,29,29,
伊戈尔_1002922.csv,50,50,
伊泰B股_0900948.csv,2,0,
众业达_1002441.csv,40,40,
众信旅游_1002707.csv,42,42,
众兴菌业_1002772.csv,20,0,
众合科技_1000925.csv,44,0,
众应互联_1002464.csv,16,14,
众泰汽车_1000980.csv,17,17,
众源新材_0603527.csv,44,43,
众生药业_1002317.csv,28,0,
优博讯_1300531.csv,33,0,
优德精密_1300549.csv,19,19,
会畅通讯_1300578.csv,2,0,
会稽山_0601579.csv,48,48,
伟明环保_0603568.csv,2,0,
伟星新材_1002372.csv,23,23,
伟星股份_1002003.csv,29,29,
伟隆股份_1002871.csv,1,1,
传化智联_1002010.csv,18,18,
传艺科技_1002866.csv,2,0,
伯特利_0603596.csv,48,48,
佐力药业_1300181.csv,40,40,
佛塑科技_1000973.csv,17,16,
佛山照明_1000541.csv,19,0,
佛慈制药_1002644.csv,21,21,
佛燃股份_1002911.csv,48,48,
佩蒂股份_1300673.csv,54,54,
佳云科技_1300242.csv,37,19,
佳创视讯_1300264.csv,7,0,
佳力图_0603912.csv,28,28,
佳士科技_1300193.csv,33,33,
佳沃股份_1300268.csv,2,2,
佳电股份_1000922.csv,3,0,
佳讯飞鸿_1300213.csv,37,37,
佳都科技_0600728.csv,38,0,
佳隆股份_1002495.csv,33,33,
供销大集_1000564.csv,41,0,
依米康_1300249.csv,37,0,
依顿电子_0603328.csv,33,0,
保利地产_0600048.csv,31,31,
保变电气_0600550.csv,37,37,
保税科技_0600794.csv,0,0,
保隆科技_0603197.csv,39,39,
保龄宝_1002286.csv,19,0,
信息发展_1300469.csv,19,0,
信捷电气_0603416.csv,50,50,
信立泰_1002294.csv,40,40,
信维通信_1300136.csv,8,0,
信达地产_0600657.csv,29,0,
信邦制药_1002390.csv,7,7,
信隆健康_1002105.csv,19,19,
信雅达_0600571.csv,18,18,
倍加洁_0603059.csv,54,54,
健友股份_0603707.csv,34,34,
健帆生物_1300529.csv,6,0,
健康元_0600380.csv,33,33,
健民集团_0600976.csv,17,16,
健盛集团_0603558.csv,19,18,
傲农生物_0603363.csv,6,5,
元力股份_1300174.csv,7,7,
元成股份_0603388.csv,20,20,
元祖股份_0603886.csv,2,0,
元隆雅图_1002878.csv,19,18,
兄弟科技_1002562.csv,1,0,
兆丰股份_1300695.csv,43,43,
兆新股份_1002256.csv,18,18,
兆日科技_1300333.csv,34,0,
兆易创新_0603986.csv,15,15,
兆驰股份_1002429.csv,37,37,
先导智能_1300450.csv,44,43,
先河环保_1300137.csv,42,0,
先达股份_0603086.csv,19,19,
先进数通_1300541.csv,37,0,
先锋新材_1300163.csv,43,43,
先锋电子_1002767.csv,8,7,
光一科技_1300356.csv,35,0,
光力科技_1300480.csv,37,0,
光华科技_1002741.csv,50,49,
光启技术_1002625.csv,43,0,
光大嘉宝_0600622.csv,19,0,
光大证券_0601788.csv,19,0,
光大银行_0601818.csv,19,19,
光威复材_1300699.csv,8,0,
光库科技_1300620.csv,48,48,
光弘科技_1300735.csv,13,13,
光明乳业_0600597.csv,18,18,
光明地产_0600708.csv,3,3,
光正集团_1002524.csv,8,1,
光洋股份_1002708.csv,45,45,
光环新网_1300383.csv,8,0,
