股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,总涨跌幅,
片仔癀_0600436.csv,-5.0687,-0.8448,-0.2151,-0.2146,-0.5209,-6.8641,
王府井_0600859.csv,-0.4533,-3.3406,-0.7069,-1.6051,-4.4967,-10.602599999999999,
瓦轴B_1200706.csv,-0.9146,-1.5015,0.0,-0.8929,-0.5917,-3.9007,
申能股份_0600642.csv,-0.1818,-2.4823,-0.8787,-1.3865,0.0,-4.9293,
百川能源_0600681.csv,-3.1938,-5.0209,0.0,0.0,-1.1478,-9.3625,
百邦科技_1300736.csv,-3.5964,-3.1915,-0.0966,-1.8957,-0.939,-9.7192,
皖新传媒_0601801.csv,-1.5805,-4.6575,-0.6803,-2.1305,-3.5944,-12.6432,
益民集团_0600824.csv,-1.4815,-4.2553,-0.4706,-0.9324,-1.8307,-8.970500000000001,
盐田港_1000088.csv,-2.1244,-4.4928,-0.5764,-3.0726,-3.7634,-14.029599999999999,
盘龙药业_1002864.csv,-4.4823,-6.3276,-0.2066,-1.7681,-0.8905,-13.6751,
科伦药业_1002422.csv,-0.8062,-1.0749,-0.9275,-0.9864,-2.8099,-6.604900000000001,
科沃斯_0603486.csv,-1.6008,-3.028,-0.4198,-0.0953,-4.671,-9.814900000000002,
粤华包B_1200986.csv,-0.3623,-1.4286,0.0,-0.7092,-2.0833,-4.5834,
粤高速A_1000429.csv,-0.4566,-1.2401,-0.4489,-1.4381,-0.4405,-4.0241999999999996,
美凯龙_0601828.csv,-2.1559,-3.2103,-0.32,-1.4972,-2.0077,-9.1911,
美尔雅_0600107.csv,-1.3906,-6.9412,-1.2776,-8.8889,-0.2112,-18.709500000000002,
美盛文化_1002699.csv,-5.3593,-1.5588,-0.1198,-0.358,-4.5558,-11.951699999999999,
翠微股份_0603123.csv,-1.214,-4.0757,0.0,-0.5789,-1.2857,-7.1543,
联环药业_0600513.csv,-2.0202,-2.7027,-0.1227,-1.57,-1.5458,-7.9614,
腾龙股份_0603158.csv,-2.6363,-7.7391,-1.6313,-0.6483,-2.5789,-15.233899999999998,
苏交科_1300284.csv,-2.5217,-2.1277,-0.5922,-2.314,-0.982,-8.5376,
苏宁环球_1000718.csv,-0.2558,-4.1667,-0.7299,-0.9639,-1.1905,-7.306799999999999,
英洛华_1000795.csv,-5.5118,-2.682,-1.6949,0.0,-0.188,-10.0767,
莱茵体育_1000558.csv,-1.99,-4.0573,-1.6432,-0.6993,-0.464,-8.853800000000001,
贝瑞基因_1000710.csv,-2.2484,-2.5478,0.0,-1.924,-3.2164,-9.9366,
赛升药业_1300485.csv,-1.3998,-3.6256,0.0,-1.249,-2.0392,-8.313600000000001,
远方信息_1300306.csv,-1.5677,-4.6958,-4.4852,-0.2035,-2.3833,-13.3355,
远程股份_1002692.csv,-7.0295,-8.5062,-1.2295,-9.7967,-2.6978,-29.259700000000002,
通用股份_0601500.csv,-0.3932,-3.1726,-0.5051,-0.6274,-1.3614,-6.059699999999999,
道恩股份_1002838.csv,-2.6667,-3.3697,0.0,0.0,-1.3203,-7.3567,
重庆水务_0601158.csv,-1.0187,-2.4834,0.0,-1.4682,-0.487,-5.4573,
金枫酒业_0600616.csv,-2.7972,-4.9834,-0.8237,-0.3284,-0.4902,-9.4229,
金桥B股_0900911.csv,-0.082,-1.0543,0.0,-0.8045,-0.3208,-2.2616,
金洲管道_1002443.csv,-0.8097,-5.1216,-1.8844,-3.8647,-0.7194,-12.3998,
金融街_1000402.csv,-1.3205,-2.5731,0.0,-0.1168,-4.3575,-8.367899999999999,
金钼股份_0601958.csv,-0.8863,-3.2857,-0.1427,-2.3677,-2.4457,-9.1281,
铁龙物流_0600125.csv,-0.3695,-3.3333,-0.8264,-2.867,-0.4566,-7.852799999999999,
锌业股份_1000751.csv,-2.7701,-3.4759,-0.2667,-3.599,-1.269,-11.380700000000001,
长城军工_0601606.csv,-4.6875,-7.1903,0.0,-3.5548,-3.1056,-18.5382,
长城汽车_0601633.csv,-3.8815,-1.9038,-0.2,-1.6716,-3.6019,-11.258799999999999,
长航凤凰_1000520.csv,-1.1019,-4.7244,0.0,-3.5443,-1.9851,-11.355699999999999,
阳谷华泰_1300121.csv,-1.1841,-5.5894,-1.7964,-2.468,-1.7071,-12.745000000000001,
隆基机械_1002363.csv,-2.1277,-3.8012,-0.146,-0.5806,-2.2695,-8.925,
隆平高科_1000998.csv,-0.7042,-3.9892,0.0,-3.1434,-0.2613,-8.0981,
雪莱特_1002076.csv,-2.4523,-6.8528,-0.7557,-2.457,-1.9277,-14.445500000000001,
高盟新材_1300200.csv,-1.179,-4.3077,-0.8138,-0.7071,-0.1009,-7.108499999999999,
鲁商置业_0600223.csv,-0.2564,-3.9409,-0.2457,-0.9732,-1.6746,-7.090800000000001,
鲁泰A_1000726.csv,-0.6737,-2.4413,0.0,-1.8433,-0.9132,-5.8715,
鸿特科技_1300176.csv,-9.8222,-9.0909,-4.3663,-2.9257,-4.1352,-30.3403,
黄山胶囊_1002817.csv,-1.5648,-5.1044,-0.4159,-1.5469,-0.3175,-8.9495,
龙溪股份_0600592.csv,-1.7982,-1.8627,-2.1113,-4.1398,-1.629,-11.540999999999999,
